GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
accountApi,com.nhnacademy.accountapi.entity,User,6,32,0,0,2,5,2,9,2,9
accountApi,com.nhnacademy.accountapi.entity,User.Status,0,32,0,0,0,7,0,2,0,2
accountApi,com.nhnacademy.accountapi.entity,User.Role,0,21,0,0,0,4,0,1,0,1
accountApi,com.nhnacademy.accountapi,AccountApiApplication,5,3,0,0,2,1,1,1,1,1
accountApi,com.nhnacademy.accountapi.dto,UserRoleUpdateRequest,0,13,0,0,0,2,0,2,0,2
accountApi,com.nhnacademy.accountapi.dto,UserRoleUpdateRequest.UserRoleUpdateRequestBuilder,7,21,0,0,0,1,1,4,1,4
accountApi,com.nhnacademy.accountapi.dto,UserCreateRequest,0,13,0,0,0,2,0,2,0,2
accountApi,com.nhnacademy.accountapi.dto,UserDTO,0,9,0,0,0,1,0,1,0,1
accountApi,com.nhnacademy.accountapi.dto,UserIdsGetDto,0,10,0,0,0,2,0,2,0,2
accountApi,com.nhnacademy.accountapi.dto,UserCreateRequest.UserCreateRequestBuilder,6,21,0,0,0,1,1,4,1,4
accountApi,com.nhnacademy.accountapi.dto,UserIdsGetDto.UserIdsGetDtoBuilder,5,14,0,0,0,1,1,3,1,3
accountApi,com.nhnacademy.accountapi.controller,UserController,28,122,16,14,8,24,13,11,1,8
accountApi,com.nhnacademy.accountapi.service,UserService,45,82,4,2,9,20,3,10,1,9
accountApi,com.nhnacademy.accountapi.exception,GlobalExceptionHandler,0,17,0,0,0,3,0,3,0,3
