GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
demo1,com.example.demo.service.impl,TaskTagServiceImpl,81,12,0,0,12,1,9,1,9,1
demo1,com.example.demo.service.impl,CommentServiceImpl,0,114,0,8,0,26,0,10,0,6
demo1,com.example.demo.service.impl,MilestoneServiceImpl,21,122,2,2,6,27,2,8,1,7
demo1,com.example.demo.service.impl,TaskServiceImpl,2,232,4,12,0,57,4,12,0,8
demo1,com.example.demo.service.impl,ProjectServiceImpl,0,170,0,2,0,38,0,11,0,10
demo1,com.example.demo.service.impl,TagServiceImpl,0,81,0,0,0,15,0,9,0,9
demo1,com.example.demo.controller,TagController,3,50,1,1,1,12,1,6,0,6
demo1,com.example.demo.controller,TaskTagController,38,6,0,0,10,1,5,1,5,1
demo1,com.example.demo.controller,MilestoneController,0,41,0,0,0,9,0,5,0,5
demo1,com.example.demo.controller,TaskController,6,52,0,0,2,11,0,6,0,6
demo1,com.example.demo.controller,MemberController,6,23,0,0,1,5,1,3,1,3
demo1,com.example.demo.controller,ProjectController,12,50,1,1,1,11,1,5,0,5
demo1,com.example.demo.controller,CommentController,0,45,0,0,0,9,0,5,0,5
demo1,com.example.demo.entity,MemberPk,87,27,21,1,0,6,13,6,2,6
demo1,com.example.demo.entity,Project.ProjectStatus,4,42,2,2,1,7,2,2,0,2
demo1,com.example.demo.entity,Task.TaskBuilder,17,49,0,0,0,1,1,8,1,8
demo1,com.example.demo.entity,Comment,20,25,0,0,1,9,3,6,3,6
demo1,com.example.demo.entity,MemberPk.MemberPkBuilder,6,21,0,0,0,1,1,4,1,4
demo1,com.example.demo.entity,Task.TaskStatus,25,21,4,0,4,4,3,1,1,1
demo1,com.example.demo.entity,TaskTagPk,16,94,11,11,0,5,9,9,0,7
demo1,com.example.demo.entity,Tag,14,56,0,0,2,10,4,7,4,7
demo1,com.example.demo.entity,Member.MemberRole,0,40,0,4,0,7,0,4,0,2
demo1,com.example.demo.entity,Milestone.MilestoneBuilder,15,42,0,0,0,1,1,7,1,7
demo1,com.example.demo.entity,Project.ProjectBuilder,9,28,0,0,0,1,1,5,1,5
demo1,com.example.demo.entity,Milestone,4,63,0,0,1,16,1,11,1,11
demo1,com.example.demo.entity,Project,4,32,0,0,1,7,1,7,1,7
demo1,com.example.demo.entity,TaskTag,15,21,0,0,2,4,4,4,4,4
demo1,com.example.demo.entity,Member,0,24,0,0,0,5,0,5,0,5
demo1,com.example.demo.entity,Task,0,64,0,0,0,16,0,10,0,10
demo1,com.example.demo.config,PageableResolver,0,40,0,4,0,9,0,6,0,4
demo1,com.example.demo.config,WebConfig,0,41,0,0,0,13,0,4,0,4
demo1,com.example.demo.error,ResourceNotFoundException,7,18,0,0,3,6,2,3,2,3
demo1,com.example.demo,Demo1Application,5,3,0,0,2,1,1,1,1,1
demo1,com.example.demo.request,CreateCommentRequest.CreateCommentRequestBuilder,6,21,0,0,0,1,1,4,1,4
demo1,com.example.demo.request,CreateMilestoneRequest,0,12,0,0,0,1,0,1,0,1
